HSCode,Commodity,value,country,year
76,ALUMINIUM AND ARTICLES THEREOF.,0.02,AFGHANISTAN TIS,2015
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",0,AFGHANISTAN TIS,2015
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0,AFGHANISTAN TIS,2015
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.03,AFGHANISTAN TIS,2015
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",0.04,AFGHANISTAN TIS,2015
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",0,AFGHANISTAN TIS,2015
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",0,AFGHANISTAN TIS,2015
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",,AFGHANISTAN TIS,2015
98,PROJECT GOODS; SOME SPECIAL USES.,0,AFGHANISTAN TIS,2015
99,MISCELLANEOUS GOODS.,0.91,AFGHANISTAN TIS,2015
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,4.72,AFGHANISTAN TIS,2014
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,177.76,AFGHANISTAN TIS,2014
9,"COFFEE, TEA, MATE AND SPICES.",13.49,AFGHANISTAN TIS,2014
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",4.13,AFGHANISTAN TIS,2014
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",58.25,AFGHANISTAN TIS,2014
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,,AFGHANISTAN TIS,2014
17,SUGARS AND SUGAR CONFECTIONERY.,,AFGHANISTAN TIS,2014
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",1.65,AFGHANISTAN TIS,2014
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.05,AFGHANISTAN TIS,2014
30,PHARMACEUTICAL PRODUCTS,0,AFGHANISTAN TIS,2014
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",,AFGHANISTAN TIS,2014
39,PLASTIC AND ARTICLES THEREOF.,,AFGHANISTAN TIS,2014
40,RUBBER AND ARTICLES THEREOF.,,AFGHANISTAN TIS,2014
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.03,AFGHANISTAN TIS,2014
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",,AFGHANISTAN TIS,2014
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0,AFGHANISTAN TIS,2014
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",,AFGHANISTAN TIS,2014
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.2,AFGHANISTAN TIS,2014
52,COTTON.,0.39,AFGHANISTAN TIS,2014
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,,AFGHANISTAN TIS,2014
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,,AFGHANISTAN TIS,2014
60,KNITTED OR CROCHETED FABRICS.,,AFGHANISTAN TIS,2014
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",,AFGHANISTAN TIS,2014
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",,AFGHANISTAN TIS,2014
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,,AFGHANISTAN TIS,2014
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",,AFGHANISTAN TIS,2014
65,HEADGEAR AND PARTS THEREOF.,,AFGHANISTAN TIS,2014
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",,AFGHANISTAN TIS,2014
70,GLASS AND GLASSWARE.,,AFGHANISTAN TIS,2014
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.01,AFGHANISTAN TIS,2014
73,ARTICLES OF IRON OR STEEL,,AFGHANISTAN TIS,2014
74,COPPER AND ARTICLES THEREOF.,0,AFGHANISTAN TIS,2014
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",,AFGHANISTAN TIS,2014
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0,AFGHANISTAN TIS,2014
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",1.2,AFGHANISTAN TIS,2014
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",0.02,AFGHANISTAN TIS,2014
91,CLOCKS AND WATCHES AND PARTS THEREOF.,,AFGHANISTAN TIS,2014
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",0,AFGHANISTAN TIS,2014
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,,AFGHANISTAN TIS,2014
98,PROJECT GOODS; SOME SPECIAL USES.,0,AFGHANISTAN TIS,2014
99,MISCELLANEOUS GOODS.,0.02,AFGHANISTAN TIS,2014
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,13.6,AFGHANISTAN TIS,2013
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,130.1,AFGHANISTAN TIS,2013
9,"COFFEE, TEA, MATE AND SPICES.",7.75,AFGHANISTAN TIS,2013
10,CEREALS.,,AFGHANISTAN TIS,2013
