HSCode,Commodity,value,country,year
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0,AFGHANISTAN TIS,2011
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.03,AFGHANISTAN TIS,2011
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.02,AFGHANISTAN TIS,2011
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",,AFGHANISTAN TIS,2011
17,SUGARS AND SUGAR CONFECTIONERY.,5.46,AFGHANISTAN TIS,2011
18,COCOA AND COCOA PREPARATIONS.,0.01,AFGHANISTAN TIS,2011
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.24,AFGHANISTAN TIS,2011
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",1,AFGHANISTAN TIS,2011
21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.25,AFGHANISTAN TIS,2011
22,"BEVERAGES, SPIRITS AND VINEGAR.",0.02,AFGHANISTAN TIS,2011
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.02,AFGHANISTAN TIS,2011
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,55.09,AFGHANISTAN TIS,2011
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.11,AFGHANISTAN TIS,2011
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",4.79,AFGHANISTAN TIS,2011
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",0.27,AFGHANISTAN TIS,2011
29,ORGANIC CHEMICALS,1,AFGHANISTAN TIS,2011
30,PHARMACEUTICAL PRODUCTS,48.76,AFGHANISTAN TIS,2011
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",0.07,AFGHANISTAN TIS,2011
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",6.6,AFGHANISTAN TIS,2011
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.86,AFGHANISTAN TIS,2011
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0,AFGHANISTAN TIS,2011
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,,AFGHANISTAN TIS,2011
38,MISCELLANEOUS CHEMICAL PRODUCTS.,0.26,AFGHANISTAN TIS,2011
39,PLASTIC AND ARTICLES THEREOF.,9.47,AFGHANISTAN TIS,2011
40,RUBBER AND ARTICLES THEREOF.,10.73,AFGHANISTAN TIS,2011
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.04,AFGHANISTAN TIS,2011
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.37,AFGHANISTAN TIS,2011
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.08,AFGHANISTAN TIS,2011
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",0.39,AFGHANISTAN TIS,2011
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.8,AFGHANISTAN TIS,2011
50,SILK,1.14,AFGHANISTAN TIS,2011
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.18,AFGHANISTAN TIS,2011
52,COTTON.,1.68,AFGHANISTAN TIS,2011
